"Time (s)","Acceleration (m/s²)"
5.823816667E-2,4.130759650E-1
9.796416667E-2,3.836065829E-1
1.376891667E-1,5.450692570E-1
1.774151667E-1,4.855557114E-1
2.171401667E-1,4.691992950E-1
2.568651667E-1,5.057736290E-1
2.965911667E-1,4.504952216E-1
3.363161667E-1,4.401748860E-1
3.760421667E-1,4.143874955E-1
4.157665417E-1,5.501224208E-1
4.554925417E-1,5.867131269E-1
4.952175417E-1,4.394545090E-1
5.349435417E-1,5.208155912E-1
5.746685417E-1,4.696583015E-1
6.143935417E-1,5.608736962E-1
6.541195417E-1,6.612423223E-1
6.938445417E-1,5.328427291E-1
7.335705417E-1,6.231822109E-1
7.732955417E-1,5.960294956E-1
8.130215417E-1,4.356169814E-1
8.527465417E-1,4.524897069E-1
8.924725417E-1,9.814861375E-1
9.321975417E-1,1.036493819E0
9.719225417E-1,1.845437978E0
1.011648542E0,6.665586108E-1
1.051373542E0,-9.078515661E-1
1.091099542E0,-2.065197392E0
1.130824542E0,-1.160664706E0
1.170550542E0,5.809635597E-1
1.210275542E0,9.641620070E-1
1.250001542E0,3.228393942E-1
1.289726542E0,1.259827636E0
1.329452542E0,1.619227915E0
1.369177542E0,5.809319848E-1
1.408902542E0,4.206720829E-2
1.448628542E0,-4.040192127E-1
1.488353542E0,-4.767585754E-2
1.528079542E0,-1.228587717E-1
1.567804542E0,-6.199124479E-1
1.607530542E0,-1.375532339E0
1.647255542E0,-1.962019179E0
1.686981542E0,-1.180266911E0
1.726706542E0,-9.066107869E-2
1.766432542E0,9.820036161E-1
1.806157542E0,2.213441851E0
1.845883542E0,2.091020451E0
1.885608542E0,8.881458646E-1
1.925334542E0,7.583721757E-2
1.965059542E0,-2.092683399E-1
2.004785542E0,4.282009578E-1
2.044510542E0,5.247080827E-1
2.084236542E0,4.202136612E-1
2.123961542E0,2.151927388E-1
2.163687542E0,3.311108655E-1
2.203412542E0,3.932772928E-1
2.243138542E0,2.467314506E-1
2.282863542E0,-2.984103119E-1
2.322589542E0,-3.128587818E-1
2.362315542E0,-7.687626779E-2
2.402040542E0,7.754635870E-2
2.441766708E0,1.465896964E-1
2.481491708E0,1.384626514E-1
2.521217708E0,-2.343113798E-1
2.560942708E0,-2.912094659E-1
2.600668708E0,-3.537565470E-4
2.640393708E0,-1.177494746E-1
2.680119708E0,1.705089015E-1
2.719844708E0,2.986915630E-1
2.759570708E0,3.034313160E-1
2.799295708E0,-1.384825319E-1
2.839021708E0,-3.242982745E-2
2.878747708E0,-1.189709580E-1
2.918472708E0,-5.283953369E-2
2.958198708E0,2.488633454E-2
2.997923708E0,2.405158603E-1
3.037649708E0,2.760470510E-3
3.077374708E0,1.431217128E-1
3.117100708E0,9.949212849E-2
3.156826708E0,-2.582902265E-1
3.196551708E0,-1.955151039E-1
3.236277708E0,3.551072538E-2
3.276002708E0,6.299790144E-2
3.315728708E0,7.291419446E-2
3.355453708E0,1.816010696E-1
3.395179708E0,2.176930082E-1
3.434905167E0,1.883891022E-1
3.474630167E0,2.457795238E-1
3.514356167E0,1.275137401E-1
3.554081167E0,-4.220227897E-2
